1 Red
42.011962, -93.671343
42.011994, -93.678682
42.012201, -93.681707
42.014561, -93.680956
42.014513, -93.678703
42.022898, -93.678639
42.022729, -93.655583
42.025267, -93.655668			
42.025338, -93.651248
42.024446, -93.649596
42.0238, -93.649338
42.022804, -93.650175
42.022796, -93.62021
42.025825, -93.620135
42.025833, -93.615392			
42.026885, -93.61536
42.026988, -93.610425
42.042686, -93.610736
42.043483, -93.611412
42.044479, -93.613697
42.045674, -93.614169
42.049785, -93.614277
42.050909, -93.615403
42.051172, -93.621776	
42.049344, -93.621846
42.049368, -93.620596
42.051192, -93.620548

3 Blue
42.020168, -93.616927
42.02012, -93.610275
42.017362, -93.610339
42.01741, -93.616841
42.020168, -93.616927
42.019339, -93.619502
42.019061, -93.627505
42.016383, -93.630788
42.016208, -93.639393
42.022671, -93.639479
42.02275, -93.650143
42.024073, -93.649242
42.025333, -93.651173
42.025333, -93.651881
42.028903, -93.651881
42.028871, -93.641474
42.030529, -93.641539
42.030545, -93.644607
42.038928, -93.644822
42.041573, -93.644822
42.041494, -93.643019
42.040458, -93.643706
42.039055, -93.643513
42.038928, -93.644822
42.039055, -93.643513
42.040458, -93.643706
42.041494, -93.643019
42.040777, -93.641002
42.043087, -93.641281
42.043454, -93.640487
42.044888, -93.640273
42.045222, -93.640745
42.045111, -93.642204
42.045446, -93.642247
42.045621, -93.625853
42.047676, -93.626025
42.048951, -93.627141
42.048951, -93.627162
42.05115, -93.623407
42.05397, -93.623428
42.053938, -93.620596
42.053938, -93.620499
42.049369, -93.620499
42.049369, -93.621808
42.05115, -93.623407

6 Brown
41.998181, -93.63626
42.000733, -93.633599
42.001131, -93.634222
42.00102, -93.635852
42.000254, -93.637033
41.999058, -93.637161
41.998181, -93.63626
41.99756, -93.637354
41.997384, -93.639393
41.995391, -93.639393
41.995056, -93.639393
41.995056, -93.639758
41.995391, -93.639393
41.997384, -93.639393
42.00837, -93.639393
42.008466, -93.640809
42.009024, -93.642397
42.008801, -93.644607
42.009431, -93.645605
42.011304, -93.646667
42.01183, -93.648663
42.011854, -93.651656
42.016135, -93.65171
42.016135, -93.650057
42.02275, -93.650143
42.024073, -93.649242
42.025333, -93.651173
42.025333, -93.651881
42.028903, -93.651881
42.028871, -93.641474
42.030529, -93.641539
42.030545, -93.644607
42.048537, -93.64495
42.049557, -93.645444
42.050481, -93.64495
42.056264, -93.644907
42.056408, -93.634222
42.05585, -93.632655
42.056025, -93.620725
42.051182, -93.620596
42.049369, -93.620499
42.049369, -93.621808
42.05115, -93.623407
42.051182, -93.620596

2 Green
42.034645, -93.691385
42.034454, -93.691385
42.034566, -93.678811
42.034454, -93.66291
42.034502, -93.655636
42.025353, -93.655636
42.025369, -93.651903
42.028876, -93.651881
42.028892, -93.641496
42.030501, -93.641539
42.03039, -93.640316
42.028413, -93.634458
42.027616, -93.633642
42.027951, -93.632355
42.028557, -93.631303
42.028318, -93.629994
42.02674, -93.627076
42.026772, -93.622634
42.025528, -93.621497
42.025002, -93.620403
42.025002, -93.619394
42.025799, -93.619459
42.025879, -93.616884
42.030151, -93.617034
42.030215, -93.620317
42.038311, -93.620424
42.038263, -93.629844
42.04188, -93.632355
42.042072, -93.620424
42.049354, -93.620553
42.051202, -93.620617
42.051186, -93.621824
42.049332, -93.621776
42.049354, -93.6205531

4 Gray
42.027218, -93.641453
42.02886, -93.641496
42.02886, -93.647976
42.027713, -93.647922
42.027163, -93.64774
42.02615, -93.647922
42.025657, -93.647858
42.024709, -93.646764
42.024565, -93.645101
42.024795, -93.644049
42.027218, -93.641453
42.027154, -93.639457
42.026644, -93.638985
42.022675, -93.639457
42.019583, -93.639414
42.0196, -93.637333
42.01622, -93.637279
42.01611, -93.632269
42.013142, -93.632312
42.011404, -93.633814
42.009475, -93.631668
42.009061, -93.628256
42.008359, -93.626046
42.008343, -93.610125
42.008388, -93.575277
42.019771, -93.575277
42.019676, -93.576565
42.020186, -93.577466
42.022705, -93.577423
42.022705, -93.574891
42.019771, -93.575277

4A Gray
42.027218, -93.641453
42.02886, -93.641496
42.02886, -93.647976
42.027713, -93.647922
42.027163, -93.64774
42.02615, -93.647922
42.025657, -93.647858
42.024709, -93.646764
42.024565, -93.645101
42.024795, -93.644049
42.027218, -93.641453
42.027154, -93.639457
42.026644, -93.638985
42.022675, -93.639457
42.019583, -93.639414
42.0196, -93.637333
42.01622, -93.637279
42.01611, -93.632269
42.013142, -93.632312
42.011404, -93.633814
42.009475, -93.631668
42.009061, -93.628256
42.008359, -93.626046
42.008343, -93.610125
41.995124, -93.61021
41.993527, -93.610168
41.993275, -93.60756
41.995124, -93.607678
41.995124, -93.61021

5 Yellow
41.99514, -93.610189
41.993481, -93.610168
41.993338, -93.608236
41.98656, -93.608279
41.986561, -93.603805
41.988132, -93.603827
41.988618, -93.603505
41.989169, -93.604299
41.989543, -93.604492
41.99011, -93.603419
41.991537, -93.602164
41.991617, -93.601187
41.991768, -93.600436
41.993164, -93.601359
41.993315, -93.60181
41.993299, -93.604202
41.993228, -93.605962
41.993267, -93.607528
41.995125, -93.607635
41.99514, -93.610189
42.0228, -93.610339
42.022898, -93.616862
42.025036, -93.616862
42.025825, -93.616884
42.025777, -93.619502
42.024988, -93.619437
42.025036, -93.616862

7 Purple
42.022719, -93.655588
42.022733, -93.650143
42.02349, -93.649784
42.024056, -93.649312
42.02404, -93.648239
42.024717, -93.646731
42.024594, -93.646377
42.024582, -93.645101
42.024789, -93.644114
42.025068, -93.64392
42.02708, -93.641523
42.028882, -93.641506
42.028878, -93.651892
42.025359, -93.651892
42.025335, -93.655647
42.022719, -93.655588
42.022908, -93.684658
